window_time,motion_percentage_th,session_id,accuracy,TP,TN,FP,FN,Accuracy
6,22,385,,67,88,2,17,0.8908045977011494
6,22,386,,16,209,39,14,0.8093525179856115
6,22,387,,14,223,11,2,0.948
6,22,388,,31,180,21,22,0.8307086614173228
6,22,389,,26,144,8,35,0.7981220657276995
6,22,390,,142,53,8,6,0.9330143540669856
6,22,391,,149,63,17,12,0.8796680497925311
6,22,392,,65,159,32,12,0.835820895522388
6,22,408,,27,55,5,24,0.7387387387387387
6,22,428,,70,137,34,35,0.75
6,22,429,,49,119,5,36,0.8038277511961722
6,22,430,,26,135,46,25,0.6939655172413793
6,22,432,,12,89,13,59,0.5838150289017341
6,22,433,,15,161,4,41,0.7963800904977375
6,22,434,,19,86,21,20,0.7191780821917808
6,22,435,,13,111,1,38,0.7607361963190185
6,22,436,,29,176,3,35,0.8436213991769548
6,24,379,,23,47,7,29,0.660377358490566
6,24,380,,8,91,31,31,0.6149068322981367
6,24,381,,10,51,2,12,0.8133333333333334
6,24,382,,22,142,14,58,0.6949152542372882
6,24,384,,47,138,10,27,0.8333333333333334
6,24,385,,62,89,1,22,0.867816091954023
6,24,386,,16,220,28,14,0.8489208633093526
6,24,387,,14,229,5,2,0.972
6,24,388,,31,186,15,22,0.8543307086614174
6,24,389,,23,147,5,38,0.7981220657276995
6,24,390,,139,53,8,9,0.9186602870813397
6,24,391,,149,63,17,12,0.8796680497925311
6,24,392,,65,166,25,12,0.8619402985074627
6,24,408,,27,57,3,24,0.7567567567567568
6,24,428,,63,146,25,42,0.7572463768115942
6,24,429,,45,121,3,40,0.7942583732057417
6,24,430,,18,136,45,33,0.6637931034482759
6,24,432,,12,94,8,59,0.6127167630057804
6,24,433,,9,162,3,47,0.7737556561085973
6,24,434,,14,86,21,25,0.684931506849315
6,24,435,,12,112,0,39,0.7607361963190185
6,24,436,,12,176,3,52,0.7736625514403292
6,26,379,,20,49,5,32,0.6509433962264151
6,26,380,,7,97,25,32,0.6459627329192547
6,26,381,,8,51,2,14,0.7866666666666666
6,26,382,,19,148,8,61,0.7076271186440678
6,26,384,,47,138,10,27,0.8333333333333334
6,26,385,,59,89,1,25,0.8505747126436781
6,26,386,,13,224,24,17,0.8525179856115108
6,26,387,,14,229,5,2,0.972
6,26,388,,29,187,14,24,0.8503937007874016
6,26,389,,23,148,4,38,0.8028169014084507
6,26,390,,138,53,8,10,0.9138755980861244
6,26,391,,149,63,17,12,0.8796680497925311
6,26,392,,59,173,18,18,0.8656716417910447
6,26,408,,26,58,2,25,0.7567567567567568
6,26,428,,63,148,23,42,0.7644927536231884
6,26,429,,35,122,2,50,0.7511961722488039
6,26,430,,16,146,35,35,0.6982758620689655
6,26,432,,8,102,0,63,0.6358381502890174
6,26,433,,6,162,3,50,0.7601809954751131
6,26,434,,14,87,20,25,0.6917808219178082
6,26,435,,12,112,0,39,0.7607361963190185
6,26,436,,12,178,1,52,0.7818930041152263
6,28,379,,18,49,5,34,0.6320754716981132
6,28,380,,7,101,21,32,0.6708074534161491
6,28,381,,7,51,2,15,0.7733333333333333
6,28,382,,19,150,6,61,0.7161016949152542
6,28,384,,46,138,10,28,0.8288288288288288
6,28,385,,59,89,1,25,0.8505747126436781
6,28,386,,13,227,21,17,0.8633093525179856
6,28,387,,14,229,5,2,0.972
6,28,388,,27,193,8,26,0.8661417322834646
6,28,389,,23,149,3,38,0.8075117370892019
6,28,390,,135,53,8,13,0.8995215311004785
6,28,391,,147,64,16,14,0.8755186721991701
6,28,392,,57,177,14,20,0.8731343283582089
6,28,408,,26,58,2,25,0.7567567567567568
6,28,428,,49,152,19,56,0.7282608695652174
6,28,429,,34,122,2,51,0.7464114832535885
6,28,430,,15,146,35,36,0.6939655172413793
6,28,432,,8,102,0,63,0.6358381502890174
6,28,433,,6,163,2,50,0.7647058823529411
6,28,434,,13,98,9,26,0.7602739726027398
6,28,435,,12,112,0,39,0.7607361963190185
6,28,436,,12,179,0,52,0.7860082304526749
8,4,379,,50,7,47,2,0.5377358490566038
8,4,380,,38,31,91,1,0.42857142857142855
8,4,381,,19,33,20,3,0.6933333333333334
8,4,382,,66,91,65,14,0.6652542372881356
8,4,384,,69,59,89,5,0.5765765765765766
8,4,385,,80,66,24,4,0.8390804597701149
8,4,386,,30,32,216,0,0.22302158273381295
